particle,mean_vx_px_per_frame,mean_vy_px_per_frame,mean_speed_px_per_frame,n_steps,rms_residual_speed_px_per_frame,mean_vx_px_per_s,mean_vy_px_per_s,mean_speed_px_per_s,mean_vx_um_per_s,mean_vy_um_per_s,mean_speed_um_per_s,rms_residual_speed_px_per_s,rms_residual_speed_um_per_s,D_m2_per_s,k_B_est_J_per_K,k_B_ratio_to_accepted
0,4.518698550478297e-05,-1.7335808414381588e-06,0.33398955837213534,1227,0.4995834736206815,0.0015689825106970743,-6.019339397641575e-05,11.596785445797284,0.00039224562767426857,-1.5048348494103938e-05,2.899196361449321,17.346537371057305,4.336634342764326,,,
1,-0.004940221923627544,0.007124694594964157,0.2159113084167914,385,0.3649488541080978,-0.17153438563219559,0.24738364572634547,7.496872450847832,-0.042883596408048896,0.06184591143158637,1.874218112711958,12.671754112341372,3.167938528085343,,,
2,0.0008786858005329011,0.0032581156119554657,0.7122498093867723,228,1.0245308001525228,0.03050972836610339,0.11312829027831768,24.73073788152751,0.007627432091525848,0.02828207256957942,6.1826844703818775,35.5737584428959,8.893439610723975,,,
3,0.10593850752737018,0.1537450548114842,0.6905638656978738,69,0.8033097182179222,3.6783968583653475,5.3383357931643545,23.977758544761574,0.9195992145913369,1.3345839482910886,5.9944396361903935,27.892520035962693,6.973130008990673,,,
4,0.11255963785494214,0.022532745313256237,0.6463850581427849,69,0.7790193840560702,3.908295745599301,0.7823819827668831,22.443781988833777,0.9770739363998252,0.19559549569172077,5.610945497208444,27.04911105319487,6.762277763298718,,,
5,-0.0007338024380431084,4.508693509664301e-05,1.408369763593068,1225,1.8114209865809237,-0.02547908825373281,0.0015655085604256386,48.90141493147851,-0.006369772063433202,0.00039137714010640965,12.225353732869628,62.896159496062836,15.724039874015709,,,
6,0.032550422701533424,-0.001446983576443934,1.2196414988435345,31,1.7661817742585622,1.1302157770426435,-0.05024216374128628,42.348392122845205,0.2825539442606609,-0.01256054093532157,10.587098030711301,61.325363565805795,15.331340891451449,,,
7,0.14397955730287856,0.1300080122066292,0.7627268074917267,339,0.8774097444533052,4.99925818867055,4.514138199838579,26.483400209727737,1.2498145471676374,1.1285345499596446,6.620850052431934,30.465421146907666,7.616355286726916,,,
8,-0.017286455217017598,0.005386819428537755,0.35324249104837296,46,0.43796088387904447,-0.6002202980452851,0.18704114419768794,12.265285774181606,-0.15005507451132127,0.046760286049421985,3.0663214435454016,15.206877810048182,3.8017194525120455,,,
9,0.20149173191497208,0.23251878604508747,0.8125608746803664,399,0.9494548888085179,6.99619591555166,8.073517289057527,28.213738690651684,1.749048978887915,2.0183793222643818,7.053434672662921,32.96697264920936,8.24174316230234,,,
10,0.0010285895348249123,0.0003790220564283686,0.16081665455871846,48,0.19415712492333262,0.03571468582819061,0.013160403843305815,5.583875879587823,0.008928671457047652,0.003290100960826454,1.3959689698969557,6.741523691587956,1.685380922896989,,,
11,0.17598053530751637,0.1566137972116397,0.7202061140374479,71,0.8303361107463804,6.110396146947584,5.437944266782554,25.00699669160827,1.527599036736896,1.3594860666956385,6.251749172902067,28.83093043733582,7.207732609333955,,,
12,0.10599489525978575,0.08251223203698015,1.573586455307336,26,1.8859048723721672,3.680354753210281,2.864989720788025,54.63806890118132,0.9200886883025703,0.7162474301970062,13.65951722529533,65.48238897850639,16.370597244626598,,,
13,-0.00012754849015387152,-1.890914606580884e-05,1.2411631035372725,992,1.5675141801490071,-0.004428738675122727,-0.0006565633696970145,43.095665281021176,-0.0011071846687806816,-0.00016414084242425363,10.773916320255294,54.427227363133824,13.606806840783456,,,
14,-0.00033080022943239823,0.0013714462473689503,0.4319233662520911,283,0.5746651575765198,-0.011486045566351731,0.0476193566011447,14.997243123005108,-0.002871511391587933,0.011904839150286175,3.749310780751277,19.953523601371923,4.988380900342981,,,
16,0.00025646135320253654,8.249576867566652e-05,0.4092954885960175,422,0.5898832859040448,0.008904851105898474,0.0028644180799564933,14.21155795503092,0.0022262127764746185,0.0007161045199891233,3.55288948875773,20.481927453160246,5.1204818632900615,,,
18,2.9894980386928377e-05,1.253178986631361e-05,0.40663810960628066,1226,0.5184735708099603,0.0010380135089949271,0.0004351288077381412,14.119288441749278,0.0002595033772487318,0.0001087822019345353,3.5298221104373195,18.002439325663442,4.5006098314158605,,,
21,0.05770155374952327,0.13538222264195027,1.5340778095551675,118,1.867559548226646,2.003513349290947,4.7007415345737975,53.26624970337453,0.5008783373227368,1.1751853836434494,13.316562425843632,64.84540263352561,16.211350658381402,,,
25,-0.00017832897646879165,0.0003339766604262454,0.3519854064176441,1226,0.42249800900612217,-0.006191938720949384,0.011596337603320094,12.221637281633438,-0.001547984680237346,0.0028990844008300234,3.0554093204083594,14.669975868710575,3.6674939671776436,,,
26,0.19316680590364804,-0.08765190754664738,0.5686338130228796,21,0.7899483250099786,6.707137834586468,-3.0434495338346905,19.744103255780427,1.676784458646617,-0.7608623834586726,4.936025813945107,27.42858574099648,6.85714643524912,,,
27,2.7654176440522677e-05,0.0004660766044341272,0.27375465314844427,1227,0.34923852656589044,0.0009602083143678285,0.016183111859161766,9.505309066620283,0.00024005207859195712,0.0040457779647904415,2.3763272666550708,12.126260119420849,3.031565029855212,,,
29,0.0002022074464077523,0.0005230884758076604,0.3829231573460594,1037,0.501500317802077,0.007021046954169975,0.018162678056993585,13.295857869369875,0.0017552617385424938,0.004540669514248396,3.323964467342469,17.41309403472372,4.35327350868093,,,
30,4.5430239138109675e-05,-7.153733261493687e-05,0.2082315252906371,1223,0.24852070761483566,0.0015774287633534441,-0.002483919263055838,7.230215021141501,0.00039435719083836103,-0.0006209798157639595,1.8075537552853753,8.629136009802323,2.157284002450581,,,
31,0.17882237120539232,0.2788322759306769,0.7783473854669922,284,0.8928133189981318,6.209070372993632,9.681614284864963,27.025777918184904,1.552267593248408,2.420403571216241,6.756444479546226,31.000264062253134,7.7500660155632835,,,
33,0.028961632302846076,0.04109154808359763,0.5685408869774915,165,0.6564129462695065,1.0056057968194214,1.4267807325586768,19.74087667763246,0.25140144920485535,0.3566951831396692,4.935219169408115,22.791970320369806,5.697992580092452,,,
35,0.100169225942756,0.16319111347711765,0.7365687554666549,133,0.8459406212435802,3.478075863184374,5.666321842152479,25.575140327313193,0.8695189657960934,1.4165804605381198,6.393785081828298,29.372750250819593,7.343187562704898,,,
37,0.03547075617449201,0.005885008168108361,0.664062888018412,137,0.769463841832091,1.2316155958907116,0.20433925361305852,23.0575915977753,0.3079038989726779,0.05108481340326463,5.764397899443825,26.717323516093867,6.679330879023467,,,
38,-5.668429383604605e-05,0.0006284192143399535,0.5808549469265948,1227,0.7528242743178242,-0.0019681920505751913,0.021819971960311865,20.168445467185226,-0.0004920480126437978,0.005454992990077966,5.0421113667963064,26.139564452863493,6.534891113215873,,,
39,0.0799764081873294,0.25124220069823455,0.6525932525028342,52,0.7205616837359956,2.7769408450804516,8.723631692644101,22.65934291340341,0.6942352112701129,2.1809079231610253,5.664835728350853,25.01934278268124,6.25483569567031,,,
40,-0.0007542422442534442,0.0009062974734148257,0.1891404917473454,225,0.25608951181170936,-0.02618879920496809,0.031468460871909576,6.567336154451327,-0.0065471998012420225,0.007867115217977394,1.6418340386128318,8.891940029126173,2.2229850072815434,,,
41,0.09804884940494402,0.15087934083170235,0.6527630194452948,653,0.7463114481879622,3.404452149038466,5.238832472358369,22.665237561179527,0.8511130372596165,1.3097081180895922,5.666309390294882,25.913426103982427,6.478356525995607,,,
42,0.023367467172192846,-0.008578955236663629,2.8052809428110534,29,3.33229403682879,0.8113651951528801,-0.29787848372743453,97.4049648962854,0.20284129878822002,-0.07446962093185863,24.35124122407135,115.70391354676924,28.92597838669231,,,
43,-0.002973258235041006,-0.009751620493362003,1.897464636147227,195,2.437960923414186,-0.10323747243709382,-0.3385957667705155,65.88376709630401,-0.025809368109273454,-0.08464894169262888,16.470941774076003,84.65087918278736,21.16271979569684,,,
44,-0.0016297023147329216,-0.000988252593675569,0.38907934347655493,394,0.47580065550847944,-0.056586523772156505,-0.034314106557603107,13.509612964192941,-0.014146630943039126,-0.008578526639400777,3.3774032410482353,16.520750360565422,4.130187590141356,,,
45,0.04735714936551479,0.0011498316606616214,1.0936948018500037,42,1.3251372157278156,1.6443349402694047,0.03992445492149282,37.97527090983583,0.4110837350673512,0.009981113730373204,9.493817727458957,46.01141440450122,11.502853601125304,,,
48,0.3519769400832585,0.32896493529860377,0.7659418923907889,19,1.073224390838016,12.221343313570904,11.42232048343812,26.595034387592975,3.055335828392726,2.85558012085953,6.648758596898244,37.26449729867759,9.316124324669397,,,
50,0.005089410389051737,0.0020180483810056803,0.4385790408085288,334,0.5231999773582303,0.17671450752865442,0.07007067588527924,15.228341454953737,0.044178626882163605,0.01751766897131981,3.8070853637384343,18.166549613832473,4.541637403458118,,,
51,0.004247462894503197,-0.0044150468718977195,0.3646047746452849,89,0.4476038716770219,0.14748040662294,-0.15329925748603263,12.659806985233583,0.036870101655735,-0.038324814371508156,3.164951746308396,15.541701632369556,3.885425408092389,,,
53,-0.00023673812572002452,-0.00028847894396795664,1.6872277876214279,315,2.137953891828509,-0.00822002120125069,-0.01001656589245539,58.58392324179122,-0.0020550053003126727,-0.0025041414731138477,14.645980810447805,74.23403503206949,18.55850875801737,,,
56,0.11816780930337245,0.12567683304037336,0.6343225853217512,43,0.7259395704987308,4.103022674631698,4.363750996827844,22.024948807541847,1.0257556686579246,1.090937749206961,5.506237201885462,25.20607376685693,6.301518441714233,,,
58,0.08214642353827845,0.15681197535723154,0.680346632765235,769,0.7674056708274369,2.852288118096104,5.444825408353794,23.62299578287449,0.713072029524026,1.3612063520884485,5.9057489457186225,26.645859702470265,6.661464925617566,,,
59,-0.04573933813689531,0.011538867542051483,0.6038739243021559,28,0.7820860073302046,-1.588161298789279,0.40065255879511164,20.96771039961946,-0.39704032469731976,0.10016313969877791,5.241927599904865,27.155590346519364,6.788897586629841,,,
69,0.060904504653604856,0.23255885715873983,0.6635526572886117,60,0.7488035371728375,2.114726210582468,8.074908638265764,23.039875366375174,0.528681552645617,2.018727159566441,5.7599688415937935,25.999956417715268,6.499989104428817,,,
70,0.21790671325395902,0.1783749505113844,0.8955007778227693,105,1.0124843310386948,7.566156897603966,6.19353503165629,31.093578007562197,1.8915392244009914,1.5483837579140725,7.773394501890549,35.15548094232556,8.78887023558139,,,
71,6.18147360164544e-05,-1.1388401995355777e-05,0.2736280971853444,1226,0.36595515226262926,0.0021463312639633295,-0.0003954280940827433,9.50091479046953,0.0005365828159908324,-9.885702352068583e-05,2.3752286976173824,12.706694796863014,3.1766736992157534,,,
72,0.061135951276744226,0.24946593954251944,0.7019378236488478,55,0.8469544515417483,2.1227625002311132,8.661956352795361,24.372685112735294,0.5306906250577783,2.1654890881988402,6.093171278183823,29.407952466432587,7.351988116608147,,,
73,0.027793817713583586,0.08386071402009365,0.7854894658706315,19,0.9008672765775397,0.9650569386510494,2.911811712205692,27.27376523396007,0.24126423466276234,0.727952928051423,6.8184413084900175,31.279913577325335,7.819978394331334,,,
74,0.13893243453929005,0.22905207970022393,0.547065278550387,27,0.6364027315227649,4.824011992073229,7.953146311351175,18.99520060182654,1.2060029980183073,1.9882865778377938,4.748800150456635,22.097175643933443,5.524293910983361,,,
75,0.009637565407263288,0.0066349824291788324,0.7818323348544459,387,0.9669150857927993,0.3346355460709959,0.23037985990594742,27.146782330816073,0.08365888651774897,0.057594964976486855,6.786695582704018,33.57322560889758,8.393306402224395,,,
76,-0.0014134383398451105,0.0025191325802108736,0.6832512158993841,67,0.8300062328048442,-0.04907740603610193,0.08746932145008196,23.723848718458417,-0.012269351509025483,0.02186733036252049,5.930962179614604,28.819476415449802,7.204869103862451,,,
78,0.0007663385634953284,-0.001286185895091974,0.5815103482339276,1181,0.7693177450032166,0.026608807601684794,-0.044658946649383524,20.191202311378433,0.0066522019004211985,-0.011164736662345881,5.047800577844608,26.712250742001686,6.6780626855004215,,,
80,-0.0036533958167069614,0.0006271213273407739,0.5566418520391319,20,0.7229909051919476,-0.12685320954769913,0.02177490672792635,19.327718386502738,-0.03171330238692478,0.005443726681981588,4.8319295966256846,25.103690210074806,6.2759225525187015,,,
82,0.03982487799151117,-0.009545014653015119,1.6226751304418745,133,2.0723423769823257,1.382799413621251,-0.33142199878199097,56.34252587920277,0.34569985340531273,-0.08285549969549774,14.085631469800692,71.95587201358032,17.98896800339508,,,
86,0.1136612396320585,0.19552155587656062,0.7699598261245381,192,0.8864070836452989,3.9465455625043355,6.788899463145938,26.73454508269621,0.9866363906260839,1.6972248657864846,6.683636270674053,30.77782675833207,7.694456689583017,,,
87,0.18057622464454248,0.27220936870606754,0.8189245299035953,575,0.9340735416461491,6.269967672107804,9.451653700212077,28.434697527312636,1.567491918026951,2.3629134250530193,7.108674381828159,32.43290151303759,8.108225378259398,,,
88,0.0010328620274007037,0.0008156462577425533,0.4142360767185676,667,0.4986963886930116,0.035863035315407236,0.028320869361336935,14.383105055822105,0.008965758828851809,0.007080217340334234,3.595776263955526,17.315736008198748,4.328934002049687,,,
89,0.0018063166739570582,-0.0019546126089105735,1.0371480612761421,694,1.362161118255041,0.06271892755313697,-0.06786805900659294,36.01185498363021,0.015679731888284244,-0.016967014751648236,9.002963745907552,47.29695834805154,11.824239587012885,,,
90,0.03992575246044643,0.10613028302868063,0.7538531148926193,264,0.8930840711388867,1.3863019769316212,3.685055687321849,26.17528785530153,0.3465754942329053,0.9212639218304622,6.5438219638253825,31.009665118084424,7.752416279521106,,,
91,0.09714559911579954,0.23757509146664688,0.5827581742019812,20,0.5961527542345534,3.3730894924987918,8.249082325904913,20.23452932464119,0.8432723731246979,2.0622705814762283,5.058632331160298,20.699615932532165,5.174903983133041,,,
92,0.12487546263514429,0.24355600006977612,0.786340228472253,675,0.9744455756045881,4.3359258136174805,8.456751434422767,27.30330541301357,1.0839814534043701,2.1141878586056917,6.825826353253393,33.83469927614251,8.458674819035627,,,
93,0.0006948514022478805,0.0007555973879844133,0.28023071086401513,1227,0.5258908884733615,0.02412663038885091,0.0262358525055948,9.730170742620334,0.006031657597212727,0.0065589631263987,2.4325426856550836,18.25998342957206,4.564995857393015,,,
94,-0.0006446201598453769,-0.000879951435546734,0.5303957159342766,1227,0.7861780080172299,-0.02238250119015118,-0.0305536737450537,18.416400048669953,-0.005595625297537795,-0.007638418436263425,4.604100012167488,27.297672794374257,6.824418198593564,,,
95,0.0288206084646281,0.010173346100634348,0.3541811151034868,246,0.5182899614048362,1.0007091671088169,0.35323892330622586,12.29787667862327,0.2501772917772042,0.08830973082655647,3.0744691696558175,17.996064039898723,4.499016009974681,,,
